timestamp_rel,mem_free,mem_slab,ksm_sharing,pgmajfault,engine_pool,engine_stored,engine_rejected
1382.35,3460,8024,0,1351352,57622528,260382720,0
1383.71,3364,8024,0,1352449,58900480,262823936,0
1385.12,4848,8028,0,1353589,59314176,260915200,0
1386.44,2540,8028,0,1355447,56963072,257630208,0
1387.86,3908,8028,0,1356639,56504320,257089536,0
1389.24,4128,8028,0,1358337,55648256,253595648,0
1390.62,2360,8024,0,1359426,57114624,256913408,0
1392.21,4344,8024,0,1361451,55238656,252358656,0
1394.08,2340,8024,0,1361969,58130432,260952064,0
1395.83,2248,8056,0,1362308,61620224,268124160,0
1397.21,3900,8048,0,1364001,62095360,265379840,0
1398.52,2196,8048,0,1365286,62504960,267276288,0
1400.26,2376,8048,0,1366810,63635456,269250560,0
1401.81,3620,8048,0,1368444,64016384,267911168,0
1403.20,2236,8048,0,1370374,61063168,264159232,0
1405.07,2512,8048,0,1371629,63606784,268369920,0
1406.49,4244,8048,0,1373595,61931520,265093120,0
1407.85,2428,8048,0,1375470,59858944,265232384,0
1409.51,5936,8052,0,1376509,60235776,266424320,0
1410.85,4612,8056,0,1379595,56619008,255770624,0
1412.15,3356,8052,0,1381360,56279040,253976576,0
1414.00,2444,8040,0,1381938,57942016,260112384,0
1415.49,2976,8040,0,1383186,59043840,262066176,0
1416.89,7180,8048,0,1384256,61239296,264077312,0
1418.19,4072,8048,0,1386313,60420096,259149824,0
1419.52,3812,8048,0,1387687,58904576,257077248,0
1420.92,3032,8048,0,1388712,59895808,260513792,0
1422.33,2208,8040,0,1389514,60329984,262955008,0
1423.79,2808,8040,0,1390838,59518976,263122944,0
1425.22,2768,8040,0,1391878,60784640,265117696,0
1426.67,2336,8040,0,1394150,60559360,262959104,0
1428.13,2356,8040,0,1395941,59723776,261402624,0
1429.49,4220,8044,0,1397190,59527168,260956160,0
1430.91,2700,8040,0,1397847,60342272,261554176,0
1432.29,5364,8040,0,1399519,59392000,259272704,0
1433.63,2172,8040,0,1402030,57667584,256872448,0
1435.31,4448,8044,0,1403655,57548800,254750720,0
1436.65,3304,8044,0,1405456,55517184,252604416,0
1438.15,2216,8040,0,1406091,58990592,258990080,0
1439.60,4176,8040,0,1407534,58531840,259690496,0
1440.99,4804,8040,0,1408991,56889344,260988928,0
1442.34,2216,8040,0,1411713,53571584,255320064,0
1443.92,6580,8048,0,1413309,51855360,254271488,0
1445.27,2648,8044,0,1414505,53723136,255410176,0
1446.66,3876,8044,0,1415761,54624256,254267392,0
1448.05,4800,8044,0,1417305,54779904,253296640,0
1449.41,7064,8044,0,1419085,53338112,250556416,0
1450.72,2436,8040,0,1420766,52809728,249446400,0
1452.24,2368,8036,0,1421563,55717888,256909312,0
1454.46,5576,8036,0,1422981,56967168,260448256,0
1455.83,2260,8036,0,1425466,54484992,256573440,0
1457.37,5424,8036,0,1427018,53768192,255037440,0
1459.52,3984,8032,0,1429215,51118080,248913920,0
1460.92,2192,8036,0,1430012,54771712,257241088,0
1462.59,1204,8036,0,1431582,53252096,255909888,0
1464.10,2836,8032,0,1432823,53886976,257261568,0
1465.44,4168,8032,0,1434661,52834304,254697472,0
1467.05,2372,8036,0,1436372,52383744,256913408,0
1468.70,2308,8052,0,1437543,53006336,260108288,0
1470.41,7920,8076,0,1438584,54112256,262336512,0
1471.77,2136,8076,0,1440375,53149696,261402624,0
1473.33,4516,8076,0,1441588,53510144,259514368,0
1474.64,5000,8080,0,1443440,50241536,254996480,0
1475.93,4108,8076,0,1445273,49389568,252620800,0
1477.27,4028,8068,0,1446484,51404800,253308928,0
1478.69,4172,8072,0,1447494,53309440,256892928,0
